cpd_id,master_cpd_id,cpd_name,broad_cpd_id,top_test_conc_umol,cpd_status,inclusion_rationale,gene_symbol_of_protein_target,target_or_activity_of_compound,source_name,source_catalog_id,cpd_smiles
RG-108,411831,RG-108,BRD-K89391146,270.0,probe,pilot-set,DNMT1,inhibitor of DNA methyltransferase,Cayman,13302,OC(=O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O
RIGOSERTIB,660397,RIGOSERTIB,BRD-K55187425,66.0,clinical,kinome,PIK3CA;PIK3CB;PLK1,inhibitor of polo-like kinase 1; inhibitor of PI3K catalytic subunits alpha and beta,Selleck,S1362,COc1cc(OC)c(\C=C\S(=O)(=O)Cc2ccc(OC)c(NCC(O)=O)c2)c(OC)c1
RITA,375492,RITA,BRD-K00317371,33.0,probe,pilot-set,MDM2;TP53,inhibitor of p53-MDM2 interaction,Tocris Bioscience,2443,OCc1ccc(s1)-c1ccc(o1)-c1ccc(CO)s1
RO4929097,687577,RO4929097,BRD-K22024824,66.0,clinical,CTEP,APH1A;NCSTN;PSEN1;PSENEN,inhibitor of gamma-secretase,Selleck,S1575,CC(C)(C(=O)NCC(F)(F)C(F)(F)F)C(=O)N[C@H]1c2ccccc2-c2ccccc2NC1=O
RUXOLITINIB,639450,RUXOLITINIB,BRD-K53972329,66.0,FDA,kinome;std-of-care,JAK1;JAK2,inhibitor of Janus kinases 1 and 2,Selleck,S1378,N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12
SALERMIDE,616352,SALERMIDE,BRD-A67788537,400.0,probe,chromatin;lit-search;pilot-set,SIRT1;SIRT2,inhibitor of sirtuin 1 and sirtuin 2,Cayman,13178,CC(C(=O)Nc1cccc(c1)\N=C\c1c(O)ccc2ccccc12)c1ccccc1
SALERMIDE:PLX-4032 (12:1 MOL/MOL),660269,SALERMIDE:PLX-4032 (12:1 MOL/MOL),BRD-M86771886,220.0,probe,combination,SIRT1;SIRT2;BRAF,inhibitor of sirtuin 1 and sirtuin 2;inhibitor of BRAF,,,CC(C(=O)Nc1cccc(c1)\N=C\c1c(O)ccc2ccccc12)c1ccccc1.CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)-c2ccc(Cl)cc2)c1F
SARACATINIB,606035,SARACATINIB,BRD-K19540840,66.0,clinical,CTEP;kinome,ABL1;SRC,inhibitor of SRC and ABL1,Selleck,S1006,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c5OCOc5ccc4Cl)ncnc3c2)CC1
SB-225002,52123,SB-225002,BRD-K61323504,37.0,probe,pilot-set,CXCR2,inhibitor of chemokine receptor 2,ChemDiv Inc.,K815-2000,Oc1cc(ccc1NC(=O)Nc1ccccc1Br)[N+]([O-])=O
SB-431542,50753,SB-431542,BRD-K67298865,66.0,probe,kinome,TGFBR1,inhibitor of the transforming growth factor beta type 1 receptor,Selleck,S1067,NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccccn1)-c1ccc2OCOc2c1
SB-525334,639962,SB-525334,BRD-K37720887,66.0,probe,kinome,TGFBR1,inhibitor of the transforming growth factor beta type 1 receptor,Selleck,S1476,Cc1cccc(n1)-c1[nH]c(nc1-c1ccc2nccnc2c1)C(C)(C)C
SB-743921,660238,SB-743921,BRD-K62358710,33.0,clinical,lit-search,KIF11,inhibitor of kinesin 11,Selleck,S2182,CC(C)[C@H](N(CCCN)C(=O)c1ccc(C)cc1)c1oc2cc(Cl)ccc2c(=O)c1Cc1ccccc1
SCH-529074,609062,SCH-529074,BRD-K24376488,33.0,probe,pilot-set,TP53,activator of mutant p53,Broad Institute of MIT and Harvard,,CN(C)CCCNc1nc(CN2CCN(CC2)C(c2ccc(Cl)cc2)c2ccc(Cl)cc2)nc2ccccc12
SCH-79797,375264,SCH-79797,BRD-K17140735,37.0,probe,pilot-set,F2R,antagonist of proteinase-activated receptor 1 (PAR1),Tocris Bioscience,1592,CC(C)c1ccc(Cn2ccc3c2ccc2nc(NC4CC4)nc(N)c32)cc1
SELUMETINIB,348991,SELUMETINIB,BRD-K57080016,270.0,clinical,CTEP;kinome;pilot-set,MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2,Selleck,S1008,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO
SELUMETINIB:BRD-A02303741 (4:1 MOL/MOL),660178,SELUMETINIB:BRD-A02303741 (4:1 MOL/MOL),BRD-M65857522,170.0,probe,combination,MAP2K1;MAP2K2;DOT1L,inhibitor of MEK1 and MEK2;inhibitor of histone methyltransferases,,,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO.CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc2c(N)ncnc12
SELUMETINIB:DECITABINE (4:1 MOL/MOL),660249,SELUMETINIB:DECITABINE (4:1 MOL/MOL),BRD-M45217710,170.0,probe,combination,MAP2K1;MAP2K2;DNMT1,inhibitor of MEK1 and MEK2;inhibitor of DNA methyltransferase,,,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1.Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO
SELUMETINIB:GDC-0941 (4:1 MOL/MOL),660174,SELUMETINIB:GDC-0941 (4:1 MOL/MOL),BRD-M25329837,170.0,probe,combination,MAP2K1;MAP2K2;PIK3CA;PIK3CB;PIK3CD;PIK3CG,inhibitor of MEK1 and MEK2;inhibitor of PI3K kinase activity,,,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO.CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)-c2cccc3[nH]ncc23)CC1
SELUMETINIB:JQ-1 (4:1 MOL/MOL),660177,SELUMETINIB:JQ-1 (4:1 MOL/MOL),BRD-M46138460,170.0,probe,combination,MAP2K1;MAP2K2;BRDT,inhibitor of MEK1 and MEK2;inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins,,,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO.Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n-21)c1ccc(Cl)cc1
SELUMETINIB:MK-2206 (8:1 MOL/MOL),660218,SELUMETINIB:MK-2206 (8:1 MOL/MOL),BRD-M34300043,150.0,probe,combination,MAP2K1;MAP2K2;AKT1,inhibitor of MEK1 and MEK2;inhibitor of AKT1,,,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO.NC1(CCC1)c1ccc(cc1)-c1nc2ccn3c(n[nH]c3=O)c2cc1-c1ccccc1
SELUMETINIB:NAVITOCLAX (8:1 MOL/MOL),660248,SELUMETINIB:NAVITOCLAX (8:1 MOL/MOL),BRD-M39644375,150.0,probe,combination,MAP2K1;MAP2K2;BCL2;BCL2L1;BCL2L2,"inhibitor of MEK1 and MEK2;inhibitor of BCL2, BCL-xL, and BCL-W",,,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
SELUMETINIB:PIPERLONGUMINE (8:1 MOL/MOL),660220,SELUMETINIB:PIPERLONGUMINE (8:1 MOL/MOL),BRD-M89326994,150.0,probe,combination,MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2;natural product; modulator of ROS levels,,,COc1cc(\C=C\C(=O)N2CCC=CC2=O)cc(OC)c1OC.Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO
SELUMETINIB:PLX-4032 (8:1 MOL/MOL),660133,SELUMETINIB:PLX-4032 (8:1 MOL/MOL),BRD-M58862563,150.0,probe,combination,MAP2K1;MAP2K2;BRAF,inhibitor of MEK1 and MEK2;inhibitor of BRAF,,,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO.CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)-c2ccc(Cl)cc2)c1F
SELUMETINIB:TRETINOIN (2:1 MOL/MOL),660175,SELUMETINIB:TRETINOIN (2:1 MOL/MOL),BRD-M45185124,200.0,probe,combination,MAP2K1;MAP2K2;RARA;RARB;RARG,inhibitor of MEK1 and MEK2;agonist of retinoid acid receptors,,,CC(=C/CO)\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C.Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO
SELUMETINIB:UNC0638 (4:1 MOL/MOL),660281,SELUMETINIB:UNC0638 (4:1 MOL/MOL),BRD-M39460218,170.0,probe,combination,MAP2K1;MAP2K2;EHMT1;EHMT2,inhibitor of MEK1 and MEK2;inhibitor of EHMT2 and GLP methyltransferase,,,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO.COc1cc2c(NC3CCN(CC3)C(C)C)nc(nc2cc1OCCCN1CCCC1)C1CCCCC1
SELUMETINIB:VORINOSTAT (8:1 MOL/MOL),660176,SELUMETINIB:VORINOSTAT (8:1 MOL/MOL),BRD-M98616540,150.0,probe,combination,MAP2K1;MAP2K2;HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of MEK1 and MEK2;inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",,,ONC(=O)CCCCCCC(=O)Nc1ccccc1.Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO
SEMAGACESTAT,660341,SEMAGACESTAT,BRD-K65592642,66.0,clinical,lit-search,APH1A;NCSTN;PSEN1;PSENEN,inhibitor of gamma-secretase,Selleck,S1594,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1c2ccccc2CCN(C)C1=O
SERDEMETAN,418164,SERDEMETAN,BRD-K60219430,33.0,clinical,pilot-set,MDM2,inhibitor of MDM2,Axon Medchem,1538,C(Cc1c[nH]c2ccccc12)Nc1cccc(Nc2ccncc2)c1
SERDEMETAN:SCH-529074 (1:1 MOL/MOL),660132,SERDEMETAN:SCH-529074 (1:1 MOL/MOL),BRD-M28943608,33.0,probe,combination,MDM2;TP53,inhibitor of MDM2;activator of mutant p53,,,C(Cc1c[nH]c2ccccc12)Nc1ccc(Nc2ccncc2)cc1.CN(C)CCCNc1nc(CN2CCN(CC2)C(c2ccc(Cl)cc2)c2ccc(Cl)cc2)nc2ccccc12
SGX-523,635882,SGX-523,BRD-K19477839,66.0,clinical,kinome,MET,inhibitor of MET,Selleck,S1112,Cn1cc(cn1)-c1ccc2nnc(Sc3ccc4ncccc4c3)n2n1
SID 26681509,411731,SID 26681509,BRD-K08417745,300.0,probe,pilot-set,CTSL1,inhibitor of cathepsin L,Tocris Bioscience,3625,CCc1ccccc1NC(=O)CSC(=O)NNC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C
SILDENAFIL,27872,SILDENAFIL,BRD-K50128260,530.0,FDA,pilot-set,PDE5A,inhibitor of phosphodiesterase 5A,Toronto Research Chemicals,S435000,CCCc1nn(C)c2C(=O)NC(=Nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4
SILMITASERTIB,660421,SILMITASERTIB,BRD-K81458380,66.0,clinical,kinome,CSNK2A1;CSNK2A2,inhibitor of casein kinase 2,Selleck,S2248,OC(=O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc21
SIMVASTATIN,27894,SIMVASTATIN,BRD-K22134346,33.0,FDA,pilot-set,HMGCR,inhibitor of HMG-CoA reductase,Tocris Bioscience,1965,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
SIROLIMUS,56703,SIROLIMUS,BRD-K84937637,33.0,FDA,kinome,MTOR,inhibitor of mTOR,Selleck,S1039,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O
SIROLIMUS:BORTEZOMIB (250:1 MOL/MOL),660134,SIROLIMUS:BORTEZOMIB (250:1 MOL/MOL),BRD-M02488208,17.0,probe,combination,MTOR;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of mTOR;inhibitor of 26S proteasome,,,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O.CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O
SITAGLIPTIN,58442,SITAGLIPTIN,BRD-K19416115,66.0,FDA,outreach,DPP4,inhibitor of dipetidyl peptidase-4,Selleck,S4002,N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F
SJ-172550,416777,SJ-172550,BRD-K93095519,33.0,probe,pilot-set,MDM2;TP53,inhibitor of p53-MDM2 interaction,Tocris Bioscience,3929,CCOc1cc(cc(Cl)c1OCC(=O)OC)\C=C1C(=O)N(N=C/1C)c1ccccc1
SKEPINONE-L,688799,SKEPINONE-L,BRD-K83607951,66.0,probe,kinome,MAPK14,inhibitor of p38 MAPK,Broad Institute of MIT and Harvard,,OC[C@@H](O)COc1ccc2CCc3cc(Nc4ccc(F)cc4F)ccc3C(=O)c2c1
SKI-II,375366,SKI-II,BRD-K20755323,130.0,probe,kinome;pilot-set,SPHK1,inhibitor of sphingosine kinase 1,Cayman,10009222,Oc1ccc(Nc2nc(cs2)-c2ccc(Cl)cc2)cc1
SMER-3,660286,SMER-3,BRD-K92960067,66.0,probe,lit-search,CUL1;SKP1,inhibitor of E3-ubiquitin ligase,Tocris Bioscience,4375,O=C1c2ccccc2-c2nc3nonc3nc12
SN-38,375637,SN-38,BRD-A36630025,1.3,probe,pilot-set,TOP1,metabolite of irinotecan; inhibitor of topoisomerase I,Tocris Bioscience,2684,CCc1c2Cn3c(cc4c(COC(=O)C4(O)CC)c3=O)-c2nc2ccc(O)cc12
SNS-032,606254,SNS-032,BRD-K43389698,66.0,clinical,chromatin;kinome;lit-search,CDK16;CDK17;CDK2;CDK7;CDK9;CDKL5,inhibitor of cyclin-dependent kinases,Selleck,S1145,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1
SNX-2112,362338,SNX-2112,BRD-K71281111,37.0,probe,pilot-set,HSP90AA1;HSP90B1,inhibitor of HSP90alpha and HSP90beta,Broad Institute of MIT and Harvard,,CC1(C)Cc2c(c(nn2-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)C(F)(F)F)C(=O)C1
SNX-2112:BORTEZOMIB (250:1 MOL/MOL),660251,SNX-2112:BORTEZOMIB (250:1 MOL/MOL),BRD-M68452404,17.0,probe,combination,HSP90AA1;HSP90B1;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of HSP90alpha and HSP90beta;inhibitor of 26S proteasome,,,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O.CC1(C)Cc2c(c(nn2-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)C(F)(F)F)C(=O)C1
SORAFENIB,349006,SORAFENIB,BRD-K23984367,66.0,FDA,CTEP;kinome;std-of-care,BRAF;FLT3;KDR;RAF1,"inhibitor of BRAF, CRAF, and VEGFR2",Cayman,10009644,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1
SOTRASTAURIN,661032,SOTRASTAURIN,BRD-K16761703,66.0,clinical,kinome,PRKCB,inhibitor of protein kinase C beta,Axon Medchem,1635,CN1CCN(CC1)c1nc(C2=C(C(=O)NC2=O)c2c[nH]c3ccccc23)c2ccccc2n1
SPAUTIN-1,657183,SPAUTIN-1,BRD-K84964099,66.0,probe,lit-search,USP10;USP13,inhibitor of the deubiquitinase activity of USP13 and USP10,Broad Institute of MIT and Harvard,,Fc1ccc(CNc2ncnc3ccc(F)cc23)cc1
SR-II-138A,411770,SR-II-138A,BRD-K11172604,33.0,probe,pilot-set,EIF4A2;EIF4E;EIF4G1,silvestrol analog; inhibits translation by modulating the eIF4F complex,Boston University,,CON(C)C(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(O[C@]2([C@@H]1c1ccccc1)c1ccc(OC)cc1)cc(OC)cc3OC
SR1001,660317,SR1001,BRD-K47981327,66.0,probe,chromatin;lit-search,RORA;RORC,synthetic ROR ligand; suppressor of TH17 differentiation,Cayman,10922,CC(=O)Nc1nc(C)c(s1)S(=O)(=O)Nc1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F
SR8278,668858,SR8278,BRD-A02904414,66.0,probe,lit-search,NR1D1,antagonist of Rev-ErbAalpha,EMD Biosciences,EMB-5547,CCOC(=O)C1Cc2ccccc2CN1C(=O)c1ccc(SC)s1
SRT-1720,411820,SRT-1720,BRD-K53855319,37.0,probe,chromatin;pilot-set,SIRT1,activator of sirtuin-1,WuXi AppTec,TH02370-053,O=C(Nc1cc(CN2CCNCC2)cc(c1)-c1nc2ccccc2[nH]1)c1cnc2ccccc2n1
STAUROSPORINE,50769,STAUROSPORINE,BRD-K17953061,3.3,probe,lit-search,,inhibitor of multiple kinases,Sigma-Aldrich;LC Laboratories,S4400;S-9300,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13
STEMREGENIN 1,609063,STEMREGENIN 1,BRD-K36739687,66.0,probe,chromatin;lit-search;outreach,AHR,inhibitor of aryl hydrocarbon receptor,BioVision,1967-5,CC(C)n1cnc2c(NCCc3ccc(O)cc3)nc(nc12)-c1csc2ccccc12
STF-31,652975,STF-31,BRD-K22477529,66.0,probe,lit-search;synthesis,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase,Broad Institute of MIT and Harvard,,CC(C)(C)c1ccc(cc1)S(=O)(=O)NCc1ccc(cc1)C(=O)Nc1cccnc1
SU11274,606586,SU11274,BRD-K02965346,66.0,probe,kinome,MET,inhibitor of MET,Selleck,S1080,CN(c1cccc(Cl)c1)S(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c(C)c(C(=O)N4CCN(C)CC4)c3C)c2c1
SUNITINIB,374750,SUNITINIB,BRD-K42828737,66.0,FDA,CTEP;kinome,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta",Selleck,S1042,CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C
SZ4TA2,688138,SZ4TA2,BRD-K55125219,66.0,probe,lit-search,BCL2L1,inhibitor of BCL-xL,Broad Institute of MIT and Harvard,,CC1(C)CCN(CC1)c1ccc(cc1)C(=O)NS(=O)(=O)c1ccc(NCCSc2ccccc2)c(c1)[N+]([O-])=O
TACEDINALINE,54200,TACEDINALINE,BRD-K52313696,33.0,probe,chromatin;lit-search;outreach,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",Stanley Center for Psychiatric Research at the Broad Institute,,CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1N
TACROLIMUS,50737,TACROLIMUS,BRD-K69608737,74.0,FDA,pilot-set,PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2,inhibitor of calcineurin,Selleck,S5003,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
TAMATINIB,417818,TAMATINIB,BRD-K20285085,33.0,clinical,CTEP;kinome;pilot-set,SYK,inhibitor of spleen tyrosine kinase,Selleck,S2194,COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC
TAMOXIFEN,26972,TAMOXIFEN,BRD-K93754473,100.0,FDA,chromatin;std-of-care,ESR1;ESR2,modulator of estrogen receptors,Sigma-Aldrich,T5648,CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1
TANDUTINIB,464458,TANDUTINIB,BRD-K89162000,66.0,clinical,CTEP;kinome,FLT3;KIT,inhibitor of c-KIT and VEGFR3,Selleck,S1043,COc1cc2c(ncnc2cc1OCCCN1CCCCC1)N1CCN(CC1)C(=O)Nc1ccc(OC(C)C)cc1
TANESPIMYCIN,50134,TANESPIMYCIN,BRD-K81473043,33.0,clinical,pilot-set,HSP90AA1,inhibitor of HSP90,Tocris Bioscience,1515,CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
TANESPIMYCIN:BORTEZOMIB (250:1 MOL/MOL),660221,TANESPIMYCIN:BORTEZOMIB (250:1 MOL/MOL),BRD-M09675615,17.0,probe,combination,HSP90AA1;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of HSP90;inhibitor of 26S proteasome,,,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O.CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
TANESPIMYCIN:GEMCITABINE (1:1 MOL/MOL),660216,TANESPIMYCIN:GEMCITABINE (1:1 MOL/MOL),BRD-M41695494,33.0,probe,combination,HSP90AA1;CMPK1;RRM1;TYMS,"inhibitor of HSP90;inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase ",,,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1.CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
TEMOZOLOMIDE,351043,TEMOZOLOMIDE,BRD-A94153989,66.0,FDA,std-of-care,,DNA alkylator,Selleck,S1237,CN1N=Nc2c(ncn2C1=O)C(=O)N
TEMSIROLIMUS,660358,TEMSIROLIMUS,BRD-K08177763,66.0,FDA,CTEP;kinome;std-of-care,MTOR,inhibitor of mTOR,Selleck,S1044,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OC(=O)C(C)(CO)CO
TENIPOSIDE,27871,TENIPOSIDE,BRD-A35588707,33.0,FDA,pilot-set,TOP2A;TOP2B,inhibitor of topoisomerase II,MicroSource Discovery Systems Inc.,01504094,COc1cc(cc(OC)c1O)[C@H]1[C@@H]2C(COC2=O)C(O[C@@H]2O[C@@H]3CO[C@H](OC3[C@H](O)[C@H]2O)c2cccs2)c2cc3OCOc3cc12
TG-100-115,606470,TG-100-115,BRD-K64785675,66.0,clinical,kinome,PIK3CD;PIK3CG,inhibitor of PI3K catalytic subunits delta and gamma,Selleck,S1352,Nc1nc(N)c2nc(-c3cccc(O)c3)c(nc2n1)-c1cccc(O)c1
TG-101348,411808,TG-101348,BRD-K12502280,37.0,clinical,kinome;pilot-set,JAK2,inhibitor of Janus kinase 2,Selleck,S2736,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C
TGX-221,606356,TGX-221,BRD-A41692738,66.0,probe,kinome,PIK3CB,inhibitor of PI3K catalytic subunit beta,Selleck,S1169,CC(Nc1ccccc1)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1
THALIDOMIDE,24197,THALIDOMIDE,BRD-A93255169,66.0,FDA,CTEP;kinome,CRBN,immunomodulatory drug; binder of cereblon,Selleck,S1193,O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12
TIGECYCLINE,659993,TIGECYCLINE,BRD-A34462049,66.0,FDA,lit-search;outreach,,analog of tetracycline,Selleck;Harvard University,S1403,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(cc(NC(=O)CNC(C)(C)C)c(O)c4C(=O)C3C(=O)[C@]2(O)C(=O)C(C(N)=O)C1=O)N(C)C
TIPIFARNIB-P1,417417,TIPIFARNIB-P1,BRD-K63195589,33.0,clinical,pilot-set,FNTA,inhibitor of farnesyltransferase,WuXi AppTec;Selleck,TH02436-025 - P1;S1453,Cn1cncc1[C@](N)(c1ccc(Cl)cc1)c1ccc2n(C)c(=O)cc(-c3cccc(Cl)c3)c2c1
TIPIFARNIB-P2,417416,TIPIFARNIB-P2,BRD-K62965247,33.0,probe,pilot-set,FNTA,inhibitor of farnesyltransferase,WuXi AppTec,TH02436-025 - P2,Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2n(C)c(=O)cc(-c3cccc(Cl)c3)c2c1
TIVANTINIB,687406,TIVANTINIB,BRD-K33379087,66.0,clinical,CTEP;kinome,MET,inhibitor of MET; inhibitor of microtubule assembly,Active Biochem,A-1109,O=C1NC(=O)[C@H]([C@@H]1c1c[nH]c2ccccc12)c1cn2CCCc3cccc1c23
TIVOZANIB,418170,TIVOZANIB,BRD-K53414658,33.0,clinical,pilot-set,FLT1;FLT3;KDR,inhibitor of VEGFRs,Selleck,S1207,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC
TOPOTECAN,44580,TOPOTECAN,BRD-K55696337,66.0,FDA,std-of-care,TOP1,inhibitor of topoisomerase I,Selleck,S1231,CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)c(CN(C)C)c4cc3Cn1c2=O
TOSEDOSTAT,417987,TOSEDOSTAT,BRD-K92241597,270.0,clinical,pilot-set,ANPEP;LAP3;NPEPPS,"inhibitor of leucine aminopeptidase 3 (LAP), puromycin-sensitive aminopeptidase (PuSA), and aminopeptidase N",Selleck,S1522,CC(C)C[C@H]([C@H](O)C(=O)NO)C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1
TPCA-1,375564,TPCA-1,BRD-K51575138,66.0,probe,chromatin;outreach,IKBKB,inhibitor of IKK-2,Tocris Bioscience,2559,NC(=O)Nc1sc(cc1C(N)=O)-c1ccc(F)cc1
